"Car_Brand","Car_Model","Year","Car_Type","Price_in_GBP","Mileage_in_miles","Transmission","Fuel","Engine_Size_in_cc"
"Ford","Focus",2023,"Hatchback",15175,10132,"Manual","Petrol",1000
"Audi","Q7 Estate 55 TFSI Quattro Black Edition Tiptronic",2022,"Estate",43690,35151,"Automatic","Petrol",3000
"Ford","Kuga",2023,"Suv",21997,21001,"Automatic","Hybrid",2500
"Ford","Focus Estate",2016,"Estate",8590,48815,"Manual","Diesel",2000
"Mercedes","C220 C-Class CoupeCDI AMG Sport Edition",2015,"Coupe",10946,38120,"Automatic","Diesel",2100
"VW","Tiguan",2022,"Suv",20589,22000,"Manual","Petrol",1500
"Audi","A3 35 TFSI Technik Petrol Hatchback",2020,"Hatchback",17623,25063,"Manual","Petrol",1500
"Ford","Kuga",2022,"Suv",15997,48840,"Manual","Petrol",1500
"Skoda","Kamiq",2024,"Hatchback",18712,10488,"Automatic","Petrol",1500
"Jeep","Wrangler",2015,"Suv",24950,25761,"Automatic","Petrol",3600
"Mercedes","C220 C-ClassSport Diesel Saloon",2016,"Saloon",12068,60025,"Automatic","Diesel",2100
"Land Rover","Range Rover evoque",2021,"Suv",19156,39445,"Manual","Diesel",2000
"Land Rover","Range Rover Sport Estate",2021,"Estate",33000,70271,"Automatic","Hybrid",2000
"BMW","X1 18i SE Petrol Estate",2019,"Estate",14552,37471,"Manual","Petrol",1500
"Renault","Arkana",2024,"Estate",19531,13606,"Automatic","Hybrid",1600
"VW","Touareg",2019,"Estate",26549,53499,"Automatic","Diesel",3000
"Land Rover","Range Rover evoque",2023,"Suv",29723,17289,"Automatic","Hybrid",1500
"Toyota","Yaris Hybrid",2018,"Hatchback",12465,20050,"Automatic","Hybrid",1500
"Ford","Fiesta",2023,"Hatchback",12545,16906,"Manual","Petrol",1100
